"Albemarle","Confederate Soldiers Monument","Monument","1925"
"Asheboro","Confederate Soldiers Monument","Monument/Courthouse","1911"
"Asheville","Monument to 60th Regiment North Carolina Volunteers","Monument/Courthouse","1905"
"Bakersville","Mitchell County’s Confederate Dead","Monument/Courthouse","N/A"
"Beaufort","Confederate Soldiers Monument","Monument","1926"
"Burgaw","Pender County","County","1875"
"Burgaw","Confederate Soldiers Monument","Monument/Courthouse","1914"
"Burnsville","Confederate Soldiers Monument","Monument/Courthouse","2009"
"Chapel Hill","Silent Sam Confederate Soldiers Monument","Monument","1913"
"Charlotte","Confederate Soldiers Monument","Monument","1977"
"Charlotte","Jefferson Davis Plaque","Monument","1960"
"Charlotte","Last Meetings of the Confederate Cabinet Marker","Monument","1915"
"Charlotte","1929 Confederate Reunion Marker","Monument","1929"
"Charlotte","Jefferson Davis Street","Road/Street/Highway","N/A"
"Clinton","Confederate Soldiers Monument","Monument/Courthouse","1916"
"Clinton","General Lee Lane","Road/Street/Highway","N/A"
"Columbia","Confederate Soldiers Monument","Monument/Courthouse","1902"
"Concord","Stonewall Jackson Youth Development Center","Jail","1909"
"Concord","Confederate Soldiers Monument","Monument","1892"
"Currituck","Confederate Soldiers Monument","Monument/Courthouse","1918"
"Dallas","Gaston County Confederate Soldier Monument","Monument/Courthouse","2003"
"Danbury","Confederate Soldiers Monument","Monument/Courthouse","1990"
"Dobson","Confederate Soldiers Monument","Monument/Courthouse","2000"
"Dunn","General Lee Avenue","Road/Street/Highway","N/A"
"Durham","Confederate Soldiers Monument","Monument/Courthouse","1924"
"Edenton","Confederate Soldiers Monument","Monument","1909"
"Elizabeth City","Confederate Soldiers Monument","Monument/Courthouse","1911"
"Faison","Monument to the “Confederate Grays” 20th Regiment North Carolina State Troops","Monument","1932"
"Fayetteville","Confederate Arsenal","Monument","1928"
"Fayetteville","Confederate Soldiers Monument","Monument","1902"
"Fayetteville","General Lee Avenue","Road/Street/Highway","N/A"
"Flat Rock","Robert E. Lee Drive","Road/Street/Highway","N/A"
"Fletcher","Jefferson Davis Monument","Monument","1931"
"Forest City","Forest City Confederate Monument","Monument","1932"
"Fort Bragg","Fort Bragg","Military Base","1918"
"Franklin","Confederate Soldiers Memorial","Monument","1909"
"Gastonia","Confederate Soldiers Monument","Monument/Courthouse","1912"
"Gatesville","Confederate Soldiers Monument","Monument","1915"
"Graham","Confederate Soldiers Monument","Monument/Courthouse","1914"
"Greensboro","Army of Tennessee Monument","Monument","1986"
"Greensboro","Confederate Soldiers Monument","Monument","1985"
"Greenville","Confederate Soldiers Monument","Monument/Courthouse","1914"
"Henderson","Vance County","County","1881"
"Hendersonville","Confederate Soldiers Monument","Monument/Courthouse","1903"
"Hertford","Confederate Soldiers Monument","Monument/Courthouse","1912"
"Holly Springs","Confederate Soldiers Monument","Monument","1923"
"Hope Mills","Jefferson Davis Street","Road/Street/Highway","N/A"
"Jacksonville","Confederate Soldiers Monument","Monument","1957"
"Kinston","General Robert Hoke Monument","Monument","1920"
"Kinston","Confederate Soldiers Monument","Monument","1924"
"Kinston","CSS Neuse Confederate","Monument","N/A"
"","Ironclad Gunboat Monument","",""
"Kinston","Robert E. Lee Drive","Road/Street/Highway","N/A"
"Kure Beach","Confederate Memorial","Monument","1921"
"Kure Beach","Confederate Soldiers Monument","Monument","1932"
"Laurinburg","Confederate Soldiers Monument","Monument/Courthouse","1912"
"Lenoir","Confederate Soldiers Monument","Monument/Courthouse","1910"
"Lexington","Confederate Soldiers Monument","Monument","1905"
"Lexington","Confederate Street","Road/Street/Highway","N/A"
"Lincolnton","Confederate Soldiers Memorial","Monument/Courthouse","1911"
"","Drinking Fountain","",""
"Louisburg","Confederate Memorial","Monument","1923"
"","Drinking Fountain","",""
"Louisburg","Confederate Soldiers Monument","Monument","1914"
"Louisburg","First Confederate Flag","Monument/Courthouse","1923"
"","Marker and Monument","",""
"Lumberton","Confederate Soldiers Monument","Monument/Courthouse","1907"
"Marion","Veterans Memorial","Monument/Courthouse","N/A"
"Mebane","Beauregard Lane","Road/Street/Highway","N/A"
"Mebane","Hill Lane","Road/Street/Highway","N/A"
"Mebane","Pickett Lane","Road/Street/Highway","N/A"
"Mebane","Stonewall Drive","Road/Street/Highway","N/A"
"Mebane","Stuart Lane","Road/Street/Highway","N/A"
"Middletown","Confederate Soldiers Monument","Monument","2001"
"Mocksville","Davie County War Memorial","Monument","1987"
"Monroe","Confederate Street","Road/Street/Highway","N/A"
"Morgantown","Confederate Soldiers Monument","Monument","1918"
"Newton","Confederate Soldiers Monument","Monument","1907"
"Oxford","Confederate Soldiers Monument","Monument","1909"
"Pittsboro","Confederate Soldiers Monument","Monument","1907"
"Raeford","Hoke County","County","1911"
"Raleigh","Sons of Confederate Veterans Commemorative License Plate","Commemorative License Plate","N/A"
"Raleigh","Confederate Memorial Day
(Not state observed;","Holiday (May 10)","N/A"
"","listed in statutes)","",""
"Raleigh","Robert E. Lee Day
(Not state observed;","Holiday (January 19)","N/A"
"","listed in statutes)","",""
"Raleigh","Henry Lawson Wyatt Monument","Monument/Gov.Property","1912"
"Raleigh","Confederate Women’s Monument","Monument/Gov.Property","1914"
"Raleigh","Samuel A’Court Ashe Monument","Monument/Gov.Property","1940"
"Rockingham","Confederate Soldiers Monument","Monument","1930"
"Rocky Mount","Confederate Soldiers Monument","Monument","1917"
"Roxboro","Confederate Monument","Monument/Courthouse","1931"
"Roxboro","Confederate Soldiers Monument","Monument/Courthouse","1922"
"Rutherfordton","Confederate Soldiers Monument","Monument/Courthouse","1910"
"Salisbury","Confederate Soldiers Monument","Monument","1909"
"Salisbury","Beauregard Drive","Road/Street/Highway","N/A"
"Salisbury","Confederate Avenue","Road/Street/Highway","N/A"
"Salisbury","Pickett Avenue","Road/Street/Highway","N/A"
"Salisbury","Stonewall Road","Road/Street/Highway","N/A"
"Salisbury","Stuart Street","Road/Street/Highway","N/A"
"Sanford","Lee County","County","1907"
"Sanford","Robert E. Lee Drive","Road/Street/Highway","N/A"
"Selma","The Last Grand Review","Monument","1990"
"Shelby","Confederate Soldiers Monument","Monument/Courthouse","1906"
"Snow Hill","Confederate Soldiers Monument","Monument","1929"
"Spencer","Beauregard Drive","Road/Street/Highway","N/A"
"Spencer","Confederate Avenue","Road/Street/Highway","N/A"
"Spencer","Pickett Avenue","Road/Street/Highway","N/A"
"Spencer","Stonewall Road","Road/Street/Highway","N/A"
"Spencer","Stuart Street","Road/Street/Highway","N/A"
"Spring Lake","General Lee Street","Road/Street/Highway","N/A"
"Stonewall","Stonewall","Road/Street/Highway","N/A"
"Sylva","Confederate Soldiers Monument","Monument","1915"
"Tarboro","Confederate Soldiers Monument","Monument","1904"
"Tarboro","Henry Lawson Wyatt Memorial Fountain","Monument","1910"
"Taylorsville","Civil War Soldiers Monument","Monument/Courthouse","1959"
"Thomasville","Thomasville and Davidson County Civil War Memorial","Monument","1910"
"Trenton","Confederate Soldiers Monument","Monument/Courthouse","1960"
"Wadesboro","Confederate Soldiers Monument","Monument/Courthouse","1906"
"Warrenton","Confederate Soldiers Monument","Monument/Courthouse","1913"
"Watha","Robert E. Lee Drive","Road/Street/Highway","N/A"
"Waynesville","North Carolina Confederate Veterans Forest","Forest","1956"
"Waynesville","Confederate Soldiers Memorial","Monument/Courthouse","1940"
"Weldon","Confederate Soldiers Monument","Monument","1908"
"Wilkesboro","Confederate Monument","Monument/Courthouse","1998"
"Wilmington","Confederate Monument","Monument","1932"
"Wilmington","Confederate Soldiers Monument","Monument","1924"
"Wilmington","George Davis Statue","Monument","1909"
"Wilmington","Rose O’Neale Greenhow Monument","Monument","N/A"
"Wilmington","Breckenridge  Drive","Road/Street/Highway","N/A"
"Wilmington","Buckner Drive","Road/Street/Highway","N/A"
"Wilmington","Early Drive","Road/Street/Highway","N/A"
"Wilmington","Jeb Stuart Drive","Road/Street/Highway","N/A"
"Wilmington","Johnston Drive","Road/Street/Highway","N/A"
"Wilmington","Longstreet Drive","Road/Street/Highway","N/A"
"Wilmington","Pemberton Drive","Road/Street/Highway","N/A"
"Wilmington","Pettigrew Drive","Road/Street/Highway","N/A"
"Wilmington","Robert E. Lee Drive","Road/Street/Highway","N/A"
"Wilmington","Stonewall Jackson Drive","Road/Street/Highway","N/A"
"Wilson","Memorial Drinking Fountain","Monument/Courthouse","1926"
"Windsor","Confederate Soldiers Monument","Monument","1896"
"Windsor","Confederate Street","Road/Street/Highway","N/A"
"Winston- Salem","Confederate Soldiers Monument","Monument/Courthouse","1905"
"Winton","Confederate Soldiers Monument","Monument/Courthouse","1913"
"Yanceyville","Confederate Soldiers Monument","Monument","1921"
"Multiple Locations","Old Jefferson Davis Highway","Road/Street/Highway","N/A"
